"Date","Open","High","Low","Close"
"12/29/2025","6,903.60","6,920.21","6,888.76","6,905.74"
"12/30/2025","6,900.44","6,913.25","6,893.47","6,896.24"
"12/31/2025","6,898.82","6,901.42","6,844.55","6,845.50"
"01/02/2026","6,878.11","6,894.87","6,824.31","6,858.47"
"01/05/2026","6,892.19","6,920.38","6,891.56","6,902.05"
"01/06/2026","6,908.03","6,948.69","6,904.02","6,944.82"
"01/07/2026","6,945.07","6,965.69","6,919.19","6,920.93"
"01/08/2026","6,914.11","6,931.28","6,899.33","6,921.46"
"01/09/2026","6,927.83","6,978.36","6,917.64","6,966.28"
"01/12/2026","6,944.12","6,986.33","6,934.07","6,977.27"
"01/13/2026","6,977.41","6,985.83","6,938.77","6,963.74"
"01/14/2026","6,937.41","6,941.30","6,885.74","6,926.60"
"01/15/2026","6,969.46","6,979.34","6,937.93","6,944.47"
"01/16/2026","6,960.54","6,967.30","6,925.09","6,940.01"
"01/20/2026","6,865.24","6,871.17","6,789.05","6,796.86"
"01/21/2026","6,810.71","6,910.39","6,804.96","6,875.62"
"01/22/2026","6,914.44","6,934.75","6,893.62","6,913.35"
"01/23/2026","6,907.85","6,932.96","6,895.50","6,915.61"
"01/26/2026","6,923.23","6,964.66","6,921.60","6,950.23"
"01/27/2026","6,965.96","6,988.82","6,958.83","6,978.60"
"01/28/2026","7,002.00","7,002.28","6,963.46","6,978.03"
"01/29/2026","6,977.74","6,992.84","6,870.80","6,969.01"
"01/30/2026","6,947.27","6,964.09","6,893.48","6,939.03"
"02/02/2026","6,916.64","6,991.92","6,914.34","6,976.44"
"02/03/2026","6,985.45","6,993.08","6,862.05","6,917.81"
"02/04/2026","6,924.50","6,936.09","6,838.80","6,882.72"
"02/05/2026","6,837.39","6,857.85","6,780.13","6,798.40"
"02/06/2026","6,816.74","6,944.89","6,816.74","6,932.30"
"02/09/2026","6,917.26","6,980.10","6,905.87","6,964.82"
"02/10/2026","6,974.49","6,986.83","6,937.53","6,941.81"
"02/11/2026","6,976.48","6,993.48","6,911.97","6,941.47"
"02/12/2026","6,957.54","6,973.22","6,824.04","6,832.76"
"02/13/2026","6,834.27","6,881.96","6,794.55","6,836.17"
"02/17/2026","6,819.86","6,866.99","6,775.50","6,843.22"
"02/18/2026","6,855.48","6,909.12","6,849.66","6,881.31"
"02/19/2026","6,861.34","6,879.12","6,833.06","6,861.89"
"02/20/2026","6,843.26","6,915.86","6,836.33","6,909.51"
"02/23/2026","6,901.25","6,916.96","6,819.82","6,837.75"
"02/24/2026","6,837.37","6,899.17","6,815.43","6,890.07"
"02/25/2026","6,915.15","6,952.51","6,915.15","6,946.13"
"02/26/2026","6,944.74","6,947.25","6,859.73","6,908.86"
"02/27/2026","6,856.54","6,882.96","6,831.74","6,878.88"
"03/02/2026","6,824.36","6,901.01","6,796.85","6,881.62"
"03/03/2026","6,800.26","6,840.05","6,710.42","6,816.63"
"03/04/2026","6,831.69","6,885.94","6,811.64","6,869.50"
"03/05/2026","6,851.08","6,870.43","6,770.78","6,830.71"
"03/06/2026","6,769.03","6,773.42","6,711.56","6,740.02"
"03/09/2026","6,699.80","6,810.44","6,636.04","6,795.99"
"03/10/2026","6,796.56","6,845.08","6,759.74","6,781.48"
"03/11/2026","6,790.09","6,811.15","6,745.59","6,775.80"
"03/12/2026","6,740.88","6,740.88","6,670.40","6,672.62"
"03/13/2026","6,673.49","6,733.30","6,623.92","6,632.19"
"03/16/2026","6,674.37","6,729.79","6,674.37","6,699.38"
"03/17/2026","6,722.35","6,754.30","6,710.80","6,716.09"
"03/18/2026","6,697.16","6,705.18","6,621.66","6,624.70"
"03/19/2026","6,583.12","6,636.74","6,557.82","6,606.49"
"03/20/2026","6,594.66","6,594.66","6,473.52","6,506.48"
"03/23/2026","6,574.96","6,651.62","6,565.55","6,581.00"
"03/24/2026","6,552.09","6,595.75","6,525.11","6,556.37"
"03/25/2026","6,598.35","6,633.94","6,568.41","6,591.90"
"03/26/2026","6,555.86","6,573.22","6,473.79","6,477.16"
"03/27/2026","6,453.89","6,453.89","6,356.08","6,368.85"
"03/30/2026","6,403.37","6,427.31","6,316.91","6,343.72"
"03/31/2026","6,395.88","6,539.05","6,395.88","6,528.52"
"04/01/2026","6,556.56","6,609.67","6,554.29","6,575.32"
"04/02/2026","6,512.61","6,601.91","6,474.94","6,582.69"
