"Date","Open","High","Low","Close"
"12/29/2025","23,414.68","23,531.02","23,397.52","23,474.35"
"12/30/2025","23,465.67","23,521.05","23,414.83","23,419.08"
"12/31/2025","23,420.85","23,445.26","23,237.78","23,241.99"
"01/02/2026","23,481.49","23,585.96","23,119.49","23,235.63"
"01/05/2026","23,449.67","23,476.51","23,332.23","23,395.82"
"01/06/2026","23,446.96","23,559.15","23,389.57","23,547.17"
"01/07/2026","23,544.90","23,723.37","23,504.22","23,584.27"
"01/08/2026","23,548.89","23,558.17","23,353.46","23,480.02"
"01/09/2026","23,496.21","23,721.15","23,426.48","23,671.35"
"01/12/2026","23,576.88","23,804.05","23,562.97","23,733.90"
"01/13/2026","23,735.12","23,813.30","23,607.59","23,709.87"
"01/14/2026","23,563.92","23,590.20","23,306.66","23,471.75"
"01/15/2026","23,693.97","23,721.11","23,502.18","23,530.02"
"01/16/2026","23,639.69","23,664.26","23,446.81","23,515.39"
"01/20/2026","23,142.69","23,236.05","22,916.83","22,954.32"
"01/21/2026","23,017.68","23,383.24","22,927.88","23,224.82"
"01/22/2026","23,440.71","23,503.16","23,335.15","23,436.02"
"01/23/2026","23,440.92","23,610.74","23,374.26","23,501.24"
"01/26/2026","23,529.28","23,688.94","23,486.08","23,601.36"
"01/27/2026","23,734.75","23,865.26","23,694.38","23,817.10"
"01/28/2026","23,965.11","23,988.27","23,775.49","23,857.45"
"01/29/2026","23,830.92","23,840.55","23,232.78","23,685.12"
"01/30/2026","23,578.96","23,662.25","23,351.55","23,461.82"
"02/02/2026","23,370.55","23,686.83","23,356.40","23,592.11"
"02/03/2026","23,667.44","23,691.60","23,027.22","23,255.19"
"02/04/2026","23,217.02","23,270.07","22,684.51","22,904.58"
"02/05/2026","22,604.02","22,841.28","22,461.14","22,540.59"
"02/06/2026","22,625.30","23,088.46","22,586.40","23,031.21"
"02/09/2026","22,952.24","23,314.67","22,878.37","23,238.67"
"02/10/2026","23,271.23","23,310.73","23,089.10","23,102.47"
"02/11/2026","23,278.29","23,320.62","22,902.01","23,066.47"
"02/12/2026","23,142.87","23,161.60","22,548.02","22,597.15"
"02/13/2026","22,561.46","22,742.06","22,402.38","22,546.67"
"02/17/2026","22,394.76","22,690.83","22,256.76","22,578.38"
"02/18/2026","22,629.85","22,895.96","22,597.77","22,753.63"
"02/19/2026","22,639.88","22,768.83","22,583.61","22,682.73"
"02/20/2026","22,542.28","22,948.87","22,539.05","22,886.07"
"02/23/2026","22,840.97","22,893.22","22,547.12","22,627.27"
"02/24/2026","22,641.60","22,895.48","22,528.26","22,863.68"
"02/25/2026","23,005.01","23,169.68","23,004.69","23,152.08"
"02/26/2026","23,100.58","23,109.47","22,670.80","22,878.38"
"02/27/2026","22,615.43","22,735.78","22,538.30","22,668.21"
"03/02/2026","22,322.12","22,802.80","22,306.08","22,748.86"
"03/03/2026","22,292.37","22,601.59","22,124.78","22,516.69"
"03/04/2026","22,620.89","22,891.88","22,570.67","22,807.48"
"03/05/2026","22,707.47","22,877.02","22,500.29","22,748.99"
"03/06/2026","22,421.17","22,614.41","22,328.14","22,387.68"
"03/09/2026","22,184.05","22,741.03","22,061.97","22,695.95"
"03/10/2026","22,722.94","22,906.72","22,608.23","22,697.10"
"03/11/2026","22,771.27","22,877.71","22,602.33","22,716.13"
"03/12/2026","22,526.59","22,550.75","22,290.48","22,311.98"
"03/13/2026","22,425.70","22,521.38","22,069.24","22,105.36"
"03/16/2026","22,340.39","22,521.59","22,316.63","22,374.18"
"03/17/2026","22,458.03","22,569.64","22,409.07","22,479.53"
"03/18/2026","22,421.96","22,461.76","22,144.76","22,152.42"
"03/19/2026","21,871.04","22,187.06","21,851.05","22,090.69"
"03/20/2026","21,989.33","21,997.09","21,522.75","21,647.61"
"03/23/2026","21,995.78","22,189.34","21,865.80","21,946.76"
"03/24/2026","21,807.60","21,916.16","21,712.04","21,761.89"
"03/25/2026","22,006.43","22,093.18","21,865.46","21,929.83"
"03/26/2026","21,693.18","21,823.58","21,395.77","21,408.08"
"03/27/2026","21,287.19","21,293.50","20,909.93","20,948.36"
"03/30/2026","21,096.24","21,139.72","20,690.25","20,794.64"
"03/31/2026","21,064.33","21,642.62","21,063.38","21,590.63"
"04/01/2026","21,742.80","21,983.07","21,723.72","21,840.95"
"04/02/2026","21,472.52","21,906.48","21,371.32","21,879.18"
